source,engine,algorithm,scenario,mean_ms_mean,mean_ms_std,mean_ms_count,p50_ms_mean,p50_ms_std,p50_ms_count,p95_ms_mean,p95_ms_std,p95_ms_count,p99_ms_mean,p99_ms_std,p99_ms_count,throughput_rps_mean,throughput_rps_std,throughput_rps_count,error_rate_mean,error_rate_std,error_rate_count,avg_lb_cpu_percent_mean,avg_lb_cpu_percent_std,avg_lb_cpu_percent_count,total_requests_mean,total_requests_std,total_requests_count
custom-engine,custom,least-connections,burst,32.265,,1,31.0,,1,42.0,,1,50.0,,1,987.3502826265594,,1,0.0,,1,67.971,,1,39651.0,,1
custom-engine,custom,least-connections,failure,32.12,,1,27.0,,1,32.0,,1,37.0,,1,581.5246841399766,,1,0.001741049534085336,,1,46.962,,1,40780.0,,1
custom-engine,custom,least-connections,ramp-up,29.994,,1,29.0,,1,38.0,,1,44.0,,1,836.2089576028052,,1,0.0,,1,59.389,,1,41971.0,,1
custom-engine,custom,least-connections,steady,28.47,,1,28.0,,1,33.0,,1,39.0,,1,306.8335363827666,433.9281485434071,2,0.0,0.0,2,24.316000000000003,33.7982899271546,2,13852.0,19589.686265992113,2
custom-engine,custom,round-robin,burst,32.219,,1,31.0,,1,43.0,,1,54.0,,1,962.7933600457928,,1,0.0,,1,68.208,,1,38686.0,,1
custom-engine,custom,round-robin,failure,31.258,,1,27.0,,1,32.0,,1,36.0,,1,589.9800456100343,,1,0.14268112965960428,,1,41.035,,1,41393.0,,1
custom-engine,custom,round-robin,ramp-up,29.128,,1,28.0,,1,36.0,,1,41.0,,1,875.5357961681852,,1,0.0,,1,58.6,,1,43916.0,,1
custom-engine,custom,round-robin,steady,27.861,,1,27.0,,1,32.0,,1,37.0,,1,322.3869352301181,455.9239761343296,2,0.0,0.0,2,23.5285,32.56721702110882,2,14549.0,20575.39311896616,2
k6,custom,least-connections,burst,40.30082469546796,,1,,,0,55.0,,1,73.0,,1,990.3094482879193,,1,0.0,,1,,,0,39651.0,,1
k6,custom,least-connections,failure,34.267949975478174,,1,,,0,39.0,,1,47.0,,1,582.3883922195881,,1,0.0019127023050514958,,1,,,0,40780.0,,1
k6,custom,least-connections,ramp-up,35.683328965237905,,1,,,0,49.0,,1,63.0,,1,838.76576270509,,1,0.0,,1,,,0,41971.0,,1
k6,custom,least-connections,steady,32.431778804504766,,1,,,0,43.0,,1,55.0,,1,615.2342882522762,,1,0.0,,1,,,0,27704.0,,1
k6,custom,round-robin,burst,41.29744610453394,,1,,,0,60.0,,1,82.0,,1,966.449324239926,,1,0.0,,1,,,0,38686.0,,1
k6,custom,round-robin,failure,33.75587659749233,,1,,,0,38.0,,1,46.0,,1,591.1258996915343,,1,0.1428019230304641,,1,,,0,41393.0,,1
k6,custom,round-robin,ramp-up,34.088988068130064,,1,,,0,47.0,,1,58.0,,1,878.1268121013377,,1,0.0,,1,,,0,43916.0,,1
k6,custom,round-robin,steady,30.874699292047563,,1,,,0,39.0,,1,50.0,,1,646.2631871182676,,1,0.0,,1,,,0,29098.0,,1
k6,nginx,least-connections,burst,30.8418452989639,,1,,,0,51.0,,1,70.0,,1,1294.2366278779405,,1,0.0,,1,,,0,51829.0,,1
k6,nginx,least-connections,ramp-up,30.528899849182732,,1,,,0,49.0,,1,76.0,,1,980.7511643246916,,1,0.0,,1,,,0,49066.0,,1
k6,nginx,least-connections,steady,28.015099048510372,,1,,,0,32.0,,1,35.0,,1,711.9061896195616,,1,0.0,,1,,,0,32055.0,,1
k6,nginx,round-robin,burst,31.453783331693398,,1,,,0,55.0,,1,76.0,,1,1269.359512390088,,1,0.0,,1,,,0,50815.0,,1
k6,nginx,round-robin,ramp-up,30.316864348459703,,1,,,0,49.0,,1,64.0,,1,987.5274835098941,,1,0.0,,1,,,0,49406.0,,1
k6,nginx,round-robin,steady,27.752108498872378,,1,,,0,31.0,,1,35.0,,1,718.9596197414597,,1,0.0,,1,,,0,32369.0,,1
