source,run_id,engine,algorithm,scenario,total_requests,error_count,error_rate,throughput_rps,mean_ms,p50_ms,p95_ms,p99_ms,avg_lb_cpu_percent,avg_lb_rss_bytes,duration_ms,med_ms
custom-engine,custom_least-connections_burst_1785533093826,custom,least-connections,burst,39651,0.0,0.0,987.3502826265594,32.265,31.0,42.0,50.0,67.971,102183526.4,40159.0,
custom-engine,custom_least-connections_failure_1785533209146,custom,least-connections,failure,40780,71.0,0.001741049534085336,581.5246841399766,32.12,27.0,32.0,37.0,46.962,116764203.886,70126.0,
custom-engine,custom_least-connections_ramp-up_1785533041858,custom,least-connections,ramp-up,41971,0.0,0.0,836.2089576028052,29.994,29.0,38.0,44.0,59.389,104343306.24,50192.0,
custom-engine,custom_least-connections_steady_1785532995042,custom,least-connections,steady,27704,0.0,0.0,613.6670727655332,28.47,28.0,33.0,39.0,48.215,102936576.0,45145.0,
custom-engine,custom_round-robin_burst_1785532953104,custom,round-robin,burst,38686,0.0,0.0,962.7933600457928,32.219,31.0,43.0,54.0,68.208,101769216.0,40181.0,
custom-engine,custom_round-robin_failure_1785533135745,custom,round-robin,failure,41393,5906.0,0.14268112965960428,589.9800456100343,31.258,27.0,32.0,36.0,41.035,104099957.029,70160.0,
custom-engine,custom_round-robin_ramp-up_1785532901166,custom,round-robin,ramp-up,43916,0.0,0.0,875.5357961681852,29.128,28.0,36.0,41.0,58.6,100036935.68,50159.0,
custom-engine,custom_round-robin_steady_1785532854342,custom,round-robin,steady,29098,0.0,0.0,644.7738704602363,27.861,27.0,32.0,37.0,46.557,79795956.87,45129.0,
custom-engine,run-1785383729155,custom,round-robin,steady,0,0.0,0.0,0.0,,,,,0.5,55115776.0,5439.0,
custom-engine,run-1785383761828,custom,least-connections,steady,0,0.0,0.0,0.0,,,,,0.417,55146338.462,24421.0,
k6,custom_least-connections_burst_trial1,custom,least-connections,burst,39651,,0.0,990.3094482879193,40.30082469546796,,55.0,73.0,,,,39.0
k6,custom_least-connections_failure_trial1,custom,least-connections,failure,40780,,0.0019127023050514958,582.3883922195881,34.267949975478174,,39.0,47.0,,,,30.0
k6,custom_least-connections_ramp-up_trial1,custom,least-connections,ramp-up,41971,,0.0,838.76576270509,35.683328965237905,,49.0,63.0,,,,34.0
k6,custom_least-connections_steady_trial1,custom,least-connections,steady,27704,,0.0,615.2342882522762,32.431778804504766,,43.0,55.0,,,,31.0
k6,custom_round-robin_burst_trial1,custom,round-robin,burst,38686,,0.0,966.449324239926,41.29744610453394,,60.0,82.0,,,,39.0
k6,custom_round-robin_failure_trial1,custom,round-robin,failure,41393,,0.1428019230304641,591.1258996915343,33.75587659749233,,38.0,46.0,,,,30.0
k6,custom_round-robin_ramp-up_trial1,custom,round-robin,ramp-up,43916,,0.0,878.1268121013377,34.088988068130064,,47.0,58.0,,,,32.0
k6,custom_round-robin_steady_trial1,custom,round-robin,steady,29098,,0.0,646.2631871182676,30.874699292047563,,39.0,50.0,,,,30.0
k6,nginx_least-connections_burst_trial1,nginx,least-connections,burst,51829,,0.0,1294.2366278779405,30.8418452989639,,51.0,70.0,,,,27.0
k6,nginx_least-connections_ramp-up_trial1,nginx,least-connections,ramp-up,49066,,0.0,980.7511643246916,30.528899849182732,,49.0,76.0,,,,27.0
k6,nginx_least-connections_steady_trial1,nginx,least-connections,steady,32055,,0.0,711.9061896195616,28.015099048510372,,32.0,35.0,,,,28.0
k6,nginx_round-robin_burst_trial1,nginx,round-robin,burst,50815,,0.0,1269.359512390088,31.453783331693398,,55.0,76.0,,,,27.0
k6,nginx_round-robin_ramp-up_trial1,nginx,round-robin,ramp-up,49406,,0.0,987.5274835098941,30.316864348459703,,49.0,64.0,,,,28.0
k6,nginx_round-robin_steady_trial1,nginx,round-robin,steady,32369,,0.0,718.9596197414597,27.752108498872378,,31.0,35.0,,,,27.0
