timestamp,runId,lbCpuPercent,lbRssBytes,lbHeapUsedBytes,systemLoad1,freeMemBytes,totalMemBytes
1785533211075,custom_least-connections_failure_1785533209146,42.86,105299968,23064256,15.46,5035618304,16373002240
1785533213078,custom_least-connections_failure_1785533209146,46.49,104906752,21786624,15.51,5041856512,16373002240
1785533215078,custom_least-connections_failure_1785533209146,48.9,105152512,18444336,15.51,5027495936,16373002240
1785533217079,custom_least-connections_failure_1785533209146,49.35,106065920,28743840,15.51,5041164288,16373002240
1785533219078,custom_least-connections_failure_1785533209146,51.24,104177664,16533656,16.27,4932231168,16373002240
1785533221079,custom_least-connections_failure_1785533209146,50.59,104214528,12479960,16.27,4938645504,16373002240
1785533223079,custom_least-connections_failure_1785533209146,47.39,105111552,21596376,16.57,4966838272,16373002240
1785533225079,custom_least-connections_failure_1785533209146,47.53,104628224,19295808,16.57,4949237760,16373002240
1785533227079,custom_least-connections_failure_1785533209146,47.85,104407040,14444616,16.57,4917030912,16373002240
1785533229079,custom_least-connections_failure_1785533209146,49.86,105037824,20974248,16.92,4905328640,16373002240
1785533231080,custom_least-connections_failure_1785533209146,50.58,104230912,16680536,16.92,4966580224,16373002240
1785533233083,custom_least-connections_failure_1785533209146,51.58,104509440,12481680,17.09,4890087424,16373002240
1785533235083,custom_least-connections_failure_1785533209146,50.15,104812544,21787264,17.09,4908953600,16373002240
1785533237083,custom_least-connections_failure_1785533209146,51.37,104943616,19961512,17.09,4889067520,16373002240
1785533239083,custom_least-connections_failure_1785533209146,51.15,104329216,17396240,16.52,4934410240,16373002240
1785533241083,custom_least-connections_failure_1785533209146,40.44,104538112,14317608,16.52,4976541696,16373002240
1785533243083,custom_least-connections_failure_1785533209146,36.05,104718336,20774680,16.8,4940713984,16373002240
1785533245083,custom_least-connections_failure_1785533209146,31.01,105218048,23349160,16.8,4919078912,16373002240
1785533247083,custom_least-connections_failure_1785533209146,31.02,104435712,16012104,16.8,4899016704,16373002240
1785533249084,custom_least-connections_failure_1785533209146,34.85,105349120,24213376,16.01,4954750976,16373002240
1785533251084,custom_least-connections_failure_1785533209146,35.72,104931328,18084288,16.01,4984020992,16373002240
1785533253084,custom_least-connections_failure_1785533209146,36.12,104607744,13281576,15.53,4966522880,16373002240
1785533255087,custom_least-connections_failure_1785533209146,47.3,122073088,20850192,15.53,4929994752,16373002240
1785533257087,custom_least-connections_failure_1785533209146,47.54,113299456,26419728,15.53,4940972032,16373002240
1785533259091,custom_least-connections_failure_1785533209146,60.43,115707904,32164912,14.77,4919304192,16373002240
1785533261095,custom_least-connections_failure_1785533209146,51.84,114970624,26706112,14.77,4919463936,16373002240
1785533263097,custom_least-connections_failure_1785533209146,47.84,115585024,31861336,15.43,4847685632,16373002240
1785533265098,custom_least-connections_failure_1785533209146,57.17,140046336,58473520,15.43,4836192256,16373002240
1785533267099,custom_least-connections_failure_1785533209146,50.58,140103680,54723344,15.43,4882427904,16373002240
1785533269099,custom_least-connections_failure_1785533209146,48.56,140840960,60172008,15.95,4832444416,16373002240
1785533271099,custom_least-connections_failure_1785533209146,52.25,155279360,77759552,15.95,4784107520,16373002240
1785533273099,custom_least-connections_failure_1785533209146,48.52,155119616,73433536,15.96,4756344832,16373002240
1785533275099,custom_least-connections_failure_1785533209146,49.24,156409856,82085752,15.96,4789923840,16373002240
1785533277100,custom_least-connections_failure_1785533209146,50.48,155873280,78726056,15.96,4846206976,16373002240
1785533279100,custom_least-connections_failure_1785533209146,49.81,155811840,76386728,17.4,4882829312,16373002240
