timestamp,runId,lbCpuPercent,lbRssBytes,lbHeapUsedBytes,systemLoad1,freeMemBytes,totalMemBytes
1785532996960,custom_least-connections_steady_1785532995042,42.71,101240832,28152872,19.33,4532330496,16373002240
1785532998960,custom_least-connections_steady_1785532995042,52.94,100999168,22921448,20.27,4586110976,16373002240
1785533000960,custom_least-connections_steady_1785532995042,48.1,100864000,20125296,20.27,4605054976,16373002240
1785533002960,custom_least-connections_steady_1785532995042,48.73,101335040,16740936,20.25,4610883584,16373002240
1785533004961,custom_least-connections_steady_1785532995042,48.54,101937152,25940192,20.25,4638478336,16373002240
1785533006962,custom_least-connections_steady_1785532995042,46.68,101687296,20981920,20.25,4614225920,16373002240
1785533008962,custom_least-connections_steady_1785532995042,46.15,102105088,26782904,19.91,4605059072,16373002240
1785533010962,custom_least-connections_steady_1785532995042,54.58,102199296,23694776,19.91,4384002048,16373002240
1785533012964,custom_least-connections_steady_1785532995042,49.49,102776832,19971528,20.15,4353781760,16373002240
1785533014964,custom_least-connections_steady_1785532995042,45.5,103055360,26184248,20.15,4191125504,16373002240
1785533016965,custom_least-connections_steady_1785532995042,45.8,103735296,31140016,20.15,4415111168,16373002240
1785533018965,custom_least-connections_steady_1785532995042,50.32,103399424,26612768,19.34,4265385984,16373002240
1785533020966,custom_least-connections_steady_1785532995042,49.12,103686144,18920984,19.34,4202635264,16373002240
1785533022966,custom_least-connections_steady_1785532995042,46.33,103854080,25060216,21.08,4293242880,16373002240
1785533024968,custom_least-connections_steady_1785532995042,45.7,104710144,32070624,21.08,4396679168,16373002240
1785533026970,custom_least-connections_steady_1785532995042,46.48,104271872,24618768,21.08,4880404480,16373002240
1785533028971,custom_least-connections_steady_1785532995042,49.82,104226816,21762432,20.83,4798173184,16373002240
1785533030971,custom_least-connections_steady_1785532995042,50.11,103546880,17068640,20.83,4739571712,16373002240
1785533032971,custom_least-connections_steady_1785532995042,48.58,103309312,12159160,20.28,4718247936,16373002240
1785533034971,custom_least-connections_steady_1785532995042,48.15,103927808,18571568,20.28,4716593152,16373002240
1785533036971,custom_least-connections_steady_1785532995042,47.53,103534592,12087432,20.28,4478541824,16373002240
1785533038971,custom_least-connections_steady_1785532995042,49.36,104202240,22477640,19.94,4170129408,16373002240
