timestamp,runId,lbCpuPercent,lbRssBytes,lbHeapUsedBytes,systemLoad1,freeMemBytes,totalMemBytes
1785532954880,custom_round-robin_burst_1785532953104,54.84,101777408,7472528,15.17,4481028096,16373002240
1785532956890,custom_round-robin_burst_1785532953104,67.88,101457920,13709368,15.17,4389056512,16373002240
1785532958890,custom_round-robin_burst_1785532953104,68.67,102391808,21302928,16.36,4278890496,16373002240
1785532960890,custom_round-robin_burst_1785532953104,71.81,101953536,11196416,16.36,4355866624,16373002240
1785532962891,custom_round-robin_burst_1785532953104,71.02,101908480,13034168,16.36,4262199296,16373002240
1785532964892,custom_round-robin_burst_1785532953104,61.21,101781504,9807544,17.37,4408549376,16373002240
1785532966898,custom_round-robin_burst_1785532953104,69.62,102350848,20396040,17.37,4440084480,16373002240
1785532968898,custom_round-robin_burst_1785532953104,67.77,101699584,14057008,17.34,4326707200,16373002240
1785532970901,custom_round-robin_burst_1785532953104,71.63,101724160,10957992,17.34,4270153728,16373002240
1785532972911,custom_round-robin_burst_1785532953104,72.73,102363136,21579008,17.34,4195975168,16373002240
1785532974916,custom_round-robin_burst_1785532953104,65.56,101756928,12976336,17.96,4191121408,16373002240
1785532976919,custom_round-robin_burst_1785532953104,69.88,102780928,23700128,17.96,4143738880,16373002240
1785532978921,custom_round-robin_burst_1785532953104,68.03,102187008,14937392,18.44,4157792256,16373002240
1785532980922,custom_round-robin_burst_1785532953104,72.24,102146048,14966816,18.44,4328079360,16373002240
1785532982925,custom_round-robin_burst_1785532953104,69.91,102969344,24519656,18.44,4397338624,16373002240
1785532984934,custom_round-robin_burst_1785532953104,67.55,102322176,19208344,19.13,4430598144,16373002240
1785532986936,custom_round-robin_burst_1785532953104,68.26,102014976,14321296,19.13,4382838784,16373002240
1785532988942,custom_round-robin_burst_1785532953104,69.61,100245504,22665624,19.28,4313669632,16373002240
1785532990947,custom_round-robin_burst_1785532953104,69.25,99930112,23095352,19.28,4505006080,16373002240
1785532992959,custom_round-robin_burst_1785532953104,66.7,99622912,19586704,19.33,4494315520,16373002240
