timestamp,runId,lbCpuPercent,lbRssBytes,lbHeapUsedBytes,systemLoad1,freeMemBytes,totalMemBytes
1785533137051,custom_round-robin_failure_1785533135745,28.57,100823040,16409584,20.76,4952981504,16373002240
1785533139051,custom_round-robin_failure_1785533135745,48.47,101343232,26115504,20.94,4938145792,16373002240
1785533141051,custom_round-robin_failure_1785533135745,47.95,101060608,22779432,20.94,4971028480,16373002240
1785533143051,custom_round-robin_failure_1785533135745,48.72,101244928,19821584,20.46,4928270336,16373002240
1785533145050,custom_round-robin_failure_1785533135745,47.47,102305792,29168336,20.46,4962480128,16373002240
1785533147051,custom_round-robin_failure_1785533135745,49.11,101978112,26753152,20.46,4996120576,16373002240
1785533149051,custom_round-robin_failure_1785533135745,48.23,102195200,24069992,20.43,4968312832,16373002240
1785533151052,custom_round-robin_failure_1785533135745,47.72,102055936,19202224,20.43,4952911872,16373002240
1785533153052,custom_round-robin_failure_1785533135745,49.52,103350272,30503168,19.83,4878589952,16373002240
1785533155052,custom_round-robin_failure_1785533135745,51.14,103616512,30314192,19.83,4920885248,16373002240
1785533157052,custom_round-robin_failure_1785533135745,49.36,103366656,28059440,19.83,4915036160,16373002240
1785533159054,custom_round-robin_failure_1785533135745,49.08,103751680,26465272,19.04,4885958656,16373002240
1785533161056,custom_round-robin_failure_1785533135745,48.07,103677952,23618448,19.04,4914262016,16373002240
1785533163056,custom_round-robin_failure_1785533135745,48.23,104820736,31509032,18.88,4921638912,16373002240
1785533165055,custom_round-robin_failure_1785533135745,48.05,104415232,25764824,18.88,4931796992,16373002240
1785533167056,custom_round-robin_failure_1785533135745,27.62,105099264,23041136,18.88,5028462592,16373002240
1785533169061,custom_round-robin_failure_1785533135745,0.18,105099264,23099752,17.45,5030617088,16373002240
1785533171061,custom_round-robin_failure_1785533135745,0.6,105099264,23387656,17.45,5047779328,16373002240
1785533173061,custom_round-robin_failure_1785533135745,8.32,105545728,29608704,16.53,4916682752,16373002240
1785533175061,custom_round-robin_failure_1785533135745,27.37,104284160,12135936,16.53,4985511936,16373002240
1785533177061,custom_round-robin_failure_1785533135745,60.28,106848256,22724976,16.53,5021184000,16373002240
1785533179061,custom_round-robin_failure_1785533135745,4.32,104566784,12816136,16.33,5032923136,16373002240
1785533181061,custom_round-robin_failure_1785533135745,5.44,104763392,16607800,16.33,5039558656,16373002240
1785533183064,custom_round-robin_failure_1785533135745,51.07,105447424,22002216,15.9,5073891328,16373002240
1785533185066,custom_round-robin_failure_1785533135745,50.73,104468480,17348216,15.9,5043322880,16373002240
1785533187068,custom_round-robin_failure_1785533135745,54.54,104607744,13283784,15.9,5065519104,16373002240
1785533189071,custom_round-robin_failure_1785533135745,49.54,105476096,22635704,15.51,5043331072,16373002240
1785533191071,custom_round-robin_failure_1785533135745,49.4,104906752,20205720,15.51,5034582016,16373002240
1785533193071,custom_round-robin_failure_1785533135745,48.35,104509440,16558784,16.35,5066842112,16373002240
1785533195072,custom_round-robin_failure_1785533135745,48.26,106020864,25451240,16.35,5081903104,16373002240
1785533197072,custom_round-robin_failure_1785533135745,49.38,105234432,21334344,16.35,5002637312,16373002240
1785533199072,custom_round-robin_failure_1785533135745,43.63,104792064,16813624,16.96,4985307136,16373002240
1785533201072,custom_round-robin_failure_1785533135745,48.88,106045440,27053128,16.96,5003423744,16373002240
1785533203072,custom_round-robin_failure_1785533135745,49.04,105615360,23634576,16.72,5032660992,16373002240
1785533205072,custom_round-robin_failure_1785533135745,49.58,105062400,17145368,16.72,5006352384,16373002240
