timestamp,runId,lbCpuPercent,lbRssBytes,lbHeapUsedBytes,systemLoad1,freeMemBytes,totalMemBytes
1785532902848,custom_round-robin_ramp-up_1785532901166,45.54,97345536,14862712,9.91,4722737152,16373002240
1785532904850,custom_round-robin_ramp-up_1785532901166,56,98746368,23220104,10.4,4614873088,16373002240
1785532906850,custom_round-robin_ramp-up_1785532901166,58.45,98103296,14459152,10.4,4605509632,16373002240
1785532908850,custom_round-robin_ramp-up_1785532901166,59.09,99217408,22151128,10.68,4506144768,16373002240
1785532910850,custom_round-robin_ramp-up_1785532901166,58.34,99569664,22144024,10.68,4428738560,16373002240
1785532912854,custom_round-robin_ramp-up_1785532901166,57.82,100347904,26986664,10.68,4462882816,16373002240
1785532914854,custom_round-robin_ramp-up_1785532901166,56.16,99729408,15502544,12.71,4436185088,16373002240
1785532916855,custom_round-robin_ramp-up_1785532901166,60.04,100564992,21820704,12.71,4462895104,16373002240
1785532918858,custom_round-robin_ramp-up_1785532901166,59.6,100724736,22582800,13.3,4427558912,16373002240
1785532920859,custom_round-robin_ramp-up_1785532901166,56.97,99463168,10742984,13.3,4363763712,16373002240
1785532922859,custom_round-robin_ramp-up_1785532901166,59.56,99852288,13334400,13.3,4331704320,16373002240
1785532924859,custom_round-robin_ramp-up_1785532901166,57.73,100069376,17654776,14.15,4537778176,16373002240
1785532926860,custom_round-robin_ramp-up_1785532901166,58.49,100139008,18728408,14.15,4462997504,16373002240
1785532928861,custom_round-robin_ramp-up_1785532901166,59.24,100446208,21300416,14.38,4339884032,16373002240
1785532930861,custom_round-robin_ramp-up_1785532901166,61.84,100610048,22232432,14.38,4336779264,16373002240
1785532932867,custom_round-robin_ramp-up_1785532901166,55.43,100524032,21025160,14.38,4475232256,16373002240
1785532934867,custom_round-robin_ramp-up_1785532901166,62.23,100806656,23223200,14.35,4343128064,16373002240
1785532936868,custom_round-robin_ramp-up_1785532901166,62.85,100032512,12974312,14.35,4350746624,16373002240
1785532938868,custom_round-robin_ramp-up_1785532901166,62.79,100343808,19157160,15.44,4262662144,16373002240
1785532940877,custom_round-robin_ramp-up_1785532901166,63.57,100745216,18652296,15.44,4277997568,16373002240
1785532942877,custom_round-robin_ramp-up_1785532901166,59.41,100536320,18942128,15.44,4489977856,16373002240
1785532944877,custom_round-robin_ramp-up_1785532901166,58.09,100626432,19961200,15.41,4474650624,16373002240
1785532946877,custom_round-robin_ramp-up_1785532901166,58.33,100999168,22150608,15.41,4545220608,16373002240
1785532948877,custom_round-robin_ramp-up_1785532901166,57.52,100638720,20126584,15.54,4515446784,16373002240
1785532950877,custom_round-robin_ramp-up_1785532901166,59.91,100741120,21854256,15.54,4471025664,16373002240
