timestamp,runId,lbCpuPercent,lbRssBytes,lbHeapUsedBytes,systemLoad1,freeMemBytes,totalMemBytes
1785383762091,run-1785383761828,0.31,55459840,5516976,1.89,8456114176,16373002240
1785383764091,run-1785383761828,0.56,55459840,5660680,1.74,8458924032,16373002240
1785383766095,run-1785383761828,1.04,55455744,5794248,1.74,8442941440,16373002240
1785383768096,run-1785383761828,0.3,55455744,5909440,1.68,8437137408,16373002240
1785383770096,run-1785383761828,0.12,55455744,5980328,1.68,8452509696,16373002240
1785383772097,run-1785383761828,0.74,54771712,5132312,1.68,8465788928,16373002240
1785383774098,run-1785383761828,0.47,54771712,5244680,1.54,8456990720,16373002240
1785383776102,run-1785383761828,0.09,54771712,5300072,1.54,8454889472,16373002240
1785383778102,run-1785383761828,0.12,54771712,5357592,1.42,8457785344,16373002240
1785383780107,run-1785383761828,0.24,54902784,5415856,1.42,8455647232,16373002240
1785383782109,run-1785383761828,0.68,55164928,5524848,1.42,8448659456,16373002240
1785383784109,run-1785383761828,0.48,55164928,5637168,1.39,8466292736,16373002240
1785383786114,run-1785383761828,0.27,55296000,5692624,1.39,8458375168,16373002240
