timestamp,runId,lbCpuPercent,lbRssBytes,lbHeapUsedBytes,systemLoad1,freeMemBytes,totalMemBytes
1788020857704,ui_least-connections_ramp-up_1788020856832,2.33,78438400,18019368,2.71,3436208128,16373002240
1788020859704,ui_least-connections_ramp-up_1788020856832,16.26,75501568,8943408,2.71,3467841536,16373002240
1788020861704,ui_least-connections_ramp-up_1788020856832,17.74,75694080,11528760,2.89,3442823168,16373002240
1788020863703,ui_least-connections_ramp-up_1788020856832,21.64,75747328,9171856,2.89,3419807744,16373002240
1788020865703,ui_least-connections_ramp-up_1788020856832,30.14,76206080,14941664,2.89,3465216000,16373002240
1788020867704,ui_least-connections_ramp-up_1788020856832,33.34,76402688,11812272,3.3,3480899584,16373002240
1788020869704,ui_least-connections_ramp-up_1788020856832,28.88,76550144,15790496,3.3,3427942400,16373002240
1788020871704,ui_least-connections_ramp-up_1788020856832,31.85,76697600,13552752,3.2,3399577600,16373002240
1788020873704,ui_least-connections_ramp-up_1788020856832,29.54,76349440,10919512,3.2,3380162560,16373002240
1788020875704,ui_least-connections_ramp-up_1788020856832,30.14,76873728,15099040,3.2,3394658304,16373002240
1788020877704,ui_least-connections_ramp-up_1788020856832,26.89,77053952,13073568,3.34,3412058112,16373002240
